iter	Logloss
0	0.6787957012
1	0.6643055097
2	0.6522979734
3	0.640731323144	0.62961555925	0.6198104552
6	0.6094947907
7	0.6005479723
8	0.5919391626
9	0.5834345536
10	0.5762988561
11	0.5690950311
12	0.5615617013
13	0.5552874685
14	0.5493110888
15	0.5427893581
16	0.536748935
17	0.5313392682
18	0.5258140372
19	0.5208819345
20	0.5156915489
2121	0.5080400958
22	0.5034620634
23	0.498603562
24	0.4944401235
25	0.4908670976
26	0.4876436357
27	0.4835327945
28	0.4805791541
29	0.4773975704
30	0.4745174419
31	0.4716976009
32	0.4689994451
33	0.4666964899
34	0.4641790498
35	0.4622397708336	0.459552661637	0.4590870701
38	0.4565681915
39	0.4542114766
40	0.4522278738
41	0.4503670139
42	0.4485255269
43	0.446530515
44	0.4451333179
45	0.4436085102
46	0.4420368497
47	0.440460289
48	0.4391043544
49	0.4379472483
50	0.4363921622
51	0.435097446
52	0.4340560728
53	0.4329023591
54	0.4317444194
55	0.4305899052
56	0.4294633414
57	0.4284613053
58	0.427462459	0.4275258622
60	0.4265602952
61	0.4254917728
62	0.4245051368
63	0.4235652864
64	0.4227172515
65	0.4218799935
66	0.4209390922
67	0.4202975051
68	0.4194989001
69	0.4186794697
70	0.4178982154
71	0.4171163014
72	0.4164223442
73	0.4158619899
74	0.4153115005
75	0.4146830811
76	0.4141265643
77	0.4134527989
78	0.4128354899
79	0.4122881419
80	0.4117088746
81	0.4111665692
82	0.4105347284
83	0.4099584	0.406326878
85	0.4056752854
86	0.4051989211
87	0.404718879
88	0.4041200942
89	0.4036888221
90	0.4030693663
91	0.4025229856
92	0.402043956
93	0.4016043859
94	0.4012577805
95	0.4008138251
96	0.400463144
97	0.4000534491
98	0.3997356853
99	0.3992098168
100	0.3988667954
101	0.3984877437
102	0.3979697586
103	0.397499612
104	0.397080582
105	0.3966781293
106	0.3963227201
107	0.3959067351
108	0.3956198474
109	0.3951867851
110	0.3948355734
111	0.3943981887
112	0.394178061
113	0.3939085418
114	0.3935062976
115	0.3930600287
116	0.3926393586
117	0.3924252461
118	0.3919114333
119	0.3914338575
120	0.3911729862
121	0.3908734352
122	0.3905386746
123	0.3900913304
124	0.3896871599
125	0.3892888226
126	0.3890301671
127	0.3886755833
128	0.3884572277
129	0.3881481234
130	0.3878243776
131	0.3875221824
132	0.3872522274
133	0.3870382638
134	0.3866945558
135	0.3863811666
136	0.3860601297
137	0.3857181028
138	0.3854224828
139	0.3851313982
140	0.3849276227
141	0.3847206828
142	0.3845772927
143	0.3841463392
144	0.3839423708
145	0.3838195994
146	0.3836375669
147	0.3834392132
148	0.3832477353
149	0.3830081199
150	0.3827114098
151	0.3824538097
152	0.3822638245
153	0.3819980761
154	0.3817418666
155	0.3814790336
156	0.3813331129
157	0.3810868286
158	0.3807877179
159	0159	0.3826056395
160	0.3823739563
161	0.382160319
162	0.3820191879
163	0.3817314961
164	0.381530206
165	0.3812420806
166	0.3810123266
167	0.3808210619
168	0.380605093
169	0.3803779398
170	0.3801823702
171	0.3800882148
172	0.379818347
173	0.3797160324
174	0.3794950891
175	0.3794680319
176	0.3792132698
177	0.3789839756
178	0.3787073897
179	0.3784955291
180	0.3783198931
181	0.3781709169
182	0.3780443889
183	0.3778116156
184	0.377662441
185	0.3775131153
186	0.3773432251
187	0.3771678551
188	0.3769468415
189	0.3767526192
190	0.3765317507
191	0.376500192	0.3738770628
193	0.3736933322
194	0.373596951
195	0.3734040733
196	0.373309455
197	0.3731462799
198	0.3729626827
199	0.3726937798
200	0.372502771
201	0.3723339278
202	0.3720739286
203	0.3719057553
204	0.3717623936
205	0.3716572268
206	0.3714660736
207	0.3713097378
208	0.3712678754
209	0.371121927
210	0.3710093614
211	0.3708514194
212	0.3706597626
213	0.3703295376
214	0.3701917508
215	0.3700106045
216	0.3697990193
217	0.369645975
218	0.3695167052
219	0.3693275971
220	0.369211812
221	0.3691046719
222	0.3689402682
223	0.3686703759
224	0.3684759276
225	0.3683669074
226	0.368221864
227	0.368047933
228	0.3678305764
229	0.3676773878
230	0.3675774478
231	0.3674435154
232	0.3673403967
233	0.3671528234
234	0.3670724793
235	0.366842741
236	0.3667013178
237	0.3665095039
238	0.3662343269
239	0.3660916067
240	0.3659213933
241	0.3656783954
242	0.3655707848
243	0.3654896083
244	0.3653638534
245	0.3652104135
246	0.365050275
247	0.364920247	0.3671438579
248	0.3669982948
249	0.3666973463
250	0.3665644174
251	0.3663774551
252	0.3662131729
253	0.3659481309
254	0.3657019422
255	0.3655437262
256	0.365384401
257	0.3651150187
258	0.365004237
259	0.3648052569
260	0.3646437591
261	0.3645051409
262	0.364396746
263	0.3643363289
264	0.3641553655
265	0.3640116903
266	0.363937477
267	0.3637334118
268	0.3637061219
269	0.3635548859
270	0.3634499245
271	0.3632571351
272	0.363167178
273	0.3630990622
274	0.3628097325
275	0.3626888616
276	0.3625344103
277	0.3624154025
278	0.3622127711
279	0.3621053022
280	0.3619305157
281	0.3617419899
282	0.3616324941
283	0.3615431435
284	0.3613648745
285	0.3612488546
286	0.3610605687
287	0.3609315357
288	0.360744858
289	0.3606217757
290	0.3604682604
291	0.3603406559
292	0.360173039
293	0.3599735118
294	0.3598921519
295	0.3597267645
296	0.3595184077
297	0.3593630366
298	0.3592941075
299	0.3591099177
300	0.3590291837
301	0.3588909285
302	0.3587578756
303	0.3587300778
304	0.3586396498
305	0.3585473128
306	0.3583939735
307	0.3583231513
308	0.3581374544
309	0.3579356215
310	0.3577271225
311	0.357601782
312	0.3574433419
313	0.3572552511
314	0.3571753578
315	0.3569475591
316	0.3569303895
317	0.3568196051
318	0.3568104701
319	0.3566895086
320	0.3564969189
321	0.3564302423
322	0.3562551529
323	0.3560449419
324	0.35593196
325	0.3557476634
326	0.3556624309
327	0.3554434151
328	0.3552554963
329	0.3551400606
330	0.3549577247
331	0.3548983972
332	0.3546966497
333	0.3545718842
334	0.3544227737
335	0.3542494263
336	0.3541319766
337	0.3539835891
338	0.3538430648
339	0.3536510935
340	0.3534430101
341	0.3533631732
342	0.3532351672
343	0.3531210808
344	0.3529684127
345	0.3527044852
346	0.3524875889
347	0.3523640189
348	0.352215242
349	0.3520454973
350	0.3518394389
351	0.3516857648
352	0.3515793223
353	0.351456984
354	0.3513647074
355	0.3511892795
356	0.3510394632
357	0.3509514889
358	0.3509398668
359	0.3508665755
360	0.350677
361	0.350575028
362	0.3504296286
363	0.3503582998
364	0.3502399392
365	0.3501616554
366	0.3500067606
367	0.3499107495
368	0.3497256865
369	0.349610356
370	0.3493953931
371	0.3492233204
372	0.3491465092
373	0.349072214
374	0.3488090446
375	0.348688334
376	0.3485567576
377	0.3484389263
378	0.3483430445
379	0.3482453209
380	0.3480439138
381	0.3479428166
382	0.3477659532
383	0.3475924267
384	0.3473410939
385	0.3472145451
386	0.3471000466
387	0.3469929832
388	0.3468330054
389	0.346708517
390	0.3465292954
391	0.3463285727
392	0.3462247609
393	0.3461598409
394	0.3459969288
395	0.3458110186
396	0.3457270617
397	0.3455545151
398	0.3454776569
399	0.3453252892
400	0.34516171
401	0.3450830506
402	0.3449998832
403	0.3449349613
404	0.3448277835
405	0.3447070154
406	0.3445815169
407	0.3444862825
408	0.3443912618
409	0.3442678796
410	0.3441387532
411	0.3440061731
412	0.3439013834
413	0.3437701961
414	0.3436757849
415	0.3435224052
416	0.3433407089
417	0.3432520667
418	0.3430957632
419	0.3429641717
420	0.3428629165
421	0.3427658232
422	0.3426543103
423	0.3425340731
424	0.3423535179
425	0.3422117291
426	0.3421081113
427	0.3419482875
428	0.3418856964
429	0.3416977055
430	0.3431	0.3395154643
432	0.3393357248
433	0.3391494355
434	0.3390500021
