iter	Passed	Remaining
0	163	163542
1	175	87631
2	184	61438
3	202	50470
4	219	43589
5	234	38828
6	251	35655
7	265	32910
8	282	31145
9	293	29024
10	318	28664
11	336	27692
12	354	26944
13	376	26506
14	461	30317
15	495	30491
16	514	29725
17	530	28953
18	561	29014
19	587	28798
20	603	28119
21	631	28087
22	638	27103
23	647	26333
24	662	25832
25	687	25747
26	702	25328
27	720	25022
28	743	24895
29	751	24293
30	772	24138
31	802	24266
32	814	23881
33	836	23764
34	858	23668
35	877	23486
36	893	23252
37	911	23081
38	933	22990
39	953	22889
40	972	22756
41	952	21727
42	974	21685
43	1003	21805
44	1034	21961
45	1062	22039
46	1086	22025
47	1097	21760
48	1115	21642
49	1128	21441
50	1136	21155
51	1153	21025
52	1170	20922
53	1189	20839
54	1208	20769
55	1229	20731
56	1257	20802
57	1275	20713
58	1289	20561
59	1308	20494
60	1315	20248
61	1323	20022
62	1330	19791
663	1376	20130
64	1400	20147
65	1425	20167
66	1448	20166
67	1474	20203
68	1493	20153
69	1545	20535
70	1587	20771
71	1621	20895
72	1647	20925
73	1676	20974
74	1695	20906
75	1720	20918
76	1755	21046
77	1798	21260
78	1809	21089
79	1887	21701
80	1931	21913
81	1957	21917
82	2012	22236
83	2051	22370
84	2110	22715
85	2155	22903
86	2172	22800
87	2196	22761
88	2219	22720
89	2226	22510
90	2232	22303
91	2239	22098
92	2245	21903
93	2253	21715
94	2260	21530
95	2266	21346
96	2273	21166
97	2279	20981
98	2285	20797
99	2291	20626
100	2298	20455
101	2304	20284
102	2309	20113
103	2316	19953
104	2321	19789
105	2327	19630
106	2334	19479
107	2339	19323
108	2345	19170
109	2352	19032
110	2359	18898
111	2365	18757
112	2371	18618
113	2378	18483
114	2384	18350
115	2390	18219
116	2397	18091118	2486	18407
119	2515	18445
1119	2463	180631120	2499	18154
121	2514	18093
122	2539	18109
123	2566	18131
124	2587	18110
125	2610	18107
126	2636	18124
127	2692	18345
128	2719	18362
129	2741	18347
130	2758	18296
131	2772	18230
132	2794	18214
133	2811	18168
134	2818	18056
135	2854	18137
136	2862	18030
137	2868	17917
138	2875	17811
139	2882	17705
140	2889	17603
141	2895	17497
142	2901	17389
143	2908	17289
144	2915	17189
145	2920	17084
146	2925	16977
147	2931	16875
148	2937	16779
149	2944	16686
150	2951	1659151	3194	17822
152	3235	17914
153	3279	18017
154	3309	18043
155	3336	18050
156	3357	18029
157	3395	18097
158	3417	18076
159	3433	18027
160	3471	18091
161	3505	18133
162	3538	18170
163	3565	18174
164	3597	18204
165	3613	18157
166	3623	18071
167	3629	17975
168	3635	17877
169	3641	17779
170	3647	17683
171	3653	17588
172	3659	17492
173	3665	17398
1174	3595	169471175	3640	17044
176	3693	17173
177	3723	17194
178	3744	17175
179	3762	17141
180	3796	17177
181	3816	17155
182	3848	17179
183	3898	17290
184	3946	17385
185	3963	17344
186	4007	17422
187	4036	17434
188	4060	17424
189	4074	17372
190	4099	17364
191	4110	17299
192	4130	17273
193	4141	17207
194	4175	17235
195	4182	17156
196	4196	17104
197	4223	17107
198	4233	17038
199	4260	17042
200	4283	17025
201	4295	16970
202	4318	16955
203	4336	16920
204	4349	16867
205	4365	16825
206	4381	16784
207	4412	16800
208	4436	16791
209	4470	16818
210	4503	16838
211	4531	16842
212	4572	16894
213	4607	16921
214	4621	16873
215	4638	16834
216	4675	16870
217	4704	16874
218	4749	16939
219	4757	16869
220	4791	16889
221	4810	16857
222	4824	16808
223	4849	16801
224	4874	16788
225	4902	16789
226	4931	16793
227	4953	16771
228	4975	16751
229	5011	16778
230	5026	16732
231	5052	16726
232	5073	16701
233	5080	16630
234	5102	16608
235	5129	16604
236	5148	16574
237	5172	16559
238	5188	16519
239	5201	16472
240	5213	16418
241	5238	16409
242	5258	16382
243	5287	16381
244	5299	16329
245	5316	16294
246	5338	16275
247	5368	16280
248	5387	16249
249	5404	16214
250	5427	16194
251	5454	16188
252	5475	16167
253	5494	16136
254	5507	16091
255	5526	16060
256	5549	16044
257	5593	16086
258	5610	16052
259	5648	16075
260	5664	16038
261	5694	16038
262	5718	16024
263	5743	16012
264	5767	15997
265	5789	15974
266	5808	15946
267	5822	15903
268	5842	15878
269	5872	15878
270	5907	15890
271	5934	15883
272	5961	15875
273	5996	15889
274	6017	15864
275	6053	15878
276	6075	15858
277	6087	15809
278	6116	15806
279	6133	15772
280	6148	15731
281	6181	15739
282	6221	15763
283	6243	15741
284	6270	15732
285	6302	15733
286	6330	15727
287	6380	15772
288	6404	15756
289	6433	15750
290	6455	15727
291	6489	15735
292	6501	15687
293	6516	15648
294	6538	15625
295	6562	15607
296	6596	15613
297	6617	15588
298	6635	15557
299	6656	15532
300	6676	15503
301	6701	15488
302	6746	15520
303	6756	15467
304	6788	15469
305	6816	15460
306	6836	15431
307	6857	15407
308	6879	15383
309	6896	15350
310	6913	15317
311	6922	15264
312	6931	15213
313	6960	15205
314	6981	15181
315	7003	15158
316	7012	15109
317	7034	15085
318	7045	15039
319	7061	15005
320	7072	14961
321	7085	14918
322	7115	14913
323	7124	14865
324	7152	14854
325	7166	14817
326	7184	14786
327	7206	14763
328	7229	14744
329	7248	14717
330	7260	14674
331	7276	14640
332	7284	14591
333	7308	14572
334	7329	14550
335	7350	14526
336	7372	14504
337	7400	14493
338	7422	14471
339	7442	14447
340	7455	14407
341	7469	14371
342	7487	14342
343	7522	14345
344	7545	14325
345	7563	14296
346	7586	14276
347	7613	14264
348	7637	14246
349	7658	14223
350	7679	14199
351	7704	14182
352	7730	14169
353	7743	14131
354	7764	14106
355	7784	14082
356	7807	14061
357	7824	14031
358	7842	14003
359	7859	13972
360	7874	13938
361	7896	13916
362	7910	13882
363	7927	13852
364	7950	13831
365	7968	13804
366	7986	13774
367	8013	13762
368	8046	13759
369	8067	13737
370	8103	13738
371	8121	13711
372	8144	13690
373	8166	13668
374	8194	13656
375	8216	13635
376	8232	13604
377	8251	13577
378	8271	13552
379	8296	13536
380	8315	13509
381	8329	13475
382	8342	13440
383	8356	13405
384	8379	13385
385	8387	13342
386	8399	13305
387	8416	13275
388	8432	13244
389	8456	13227
390	8470	13193
391	8493	13173
392	8514	13151
393	8528	13116
394	8551	13097
395	8570	13071
396	8586	13041
397	8602	13012
398	8618	12981
399	8635	12953
400	8654	12927
401	8662	12885
402	8681	12860
403	8701	12837
404	8721	12813
405	8743	12792
406	8758	12760
407	8777	12735
408	8804	12723
409	8819	12691
410	8837	12665
411	8860	12645
412	8888	12633
413	8919	12624
414	8936	12597
415	8954	12571
416	8980	12555
417	9002	12533
418	9020	12508
419	9041	12485
420	9062	12463
421	9080	12437
422	9102	12417
423	9123	12393
424	9145	12373
425	9167	12353
426	9187	12329
427	9209	12307
428	9227	12281
429	9253	12266
430	9270	12239
431	9290	12214
432	9316	12199
433	9330	12168
434	9347	12140
435	9371	12122
436	9387	12094
437	9396	12057
438	9411	12026
439	9426	11996
440	9437	11962
441	9453	11934
442	9472	11910
443	9481	11873
444	9501	11850
445	9517	11821
446	9531	11791
447	9544	11760
448	9555	11726
449	9566	11692
450	9592	11677
451	9609	11650
452	9625	11622
453	9642	11596
454	9651	11560
455	9666	11532
456	9682	11504
457	9694	11472
458	9714	11450
459	9725	11417
460	9741	11389
461	9757	11362
462	9787	11351
463	9807	11328
464	9821	11300
465	9833	11268
466	9852	11245
467	9864	11213
468	9881	11187
469	9895	11158
470	9907	11128
471	9918	11095
472	9935	11070
473	9954	11046
474	9974	11024
475	9996	11004
476	10012	10978
477	10027	10950
478	10046	10927
479	10063	10901
480	10083	10879
481	10110	10865
482	10136	10850
483	10160	10832
484	10179	10809
485	10201	10789
486	10220	10766
487	10245	10749
488	10265	10727
489	10280	10700
490	10297	10675
491	10324	10659
492	10348	10642
493	10363	10615
494	10387	10597
495	10406	10573
496	10423	10548
497	10446	10529
498	10472	10514
499	10492	10492
500	10516	10474
501	10530	10446
502	10564	10438
503	10598	10429
504	10634	10424
505	10645	10393
506	10672	10377
507	10685	10348
508	10698	10320
509	10718	10298
510	10733	10271
511	10747	10243
512	10764	10218
513	10777	10190
514	10798	10169
515	10822	10151
516	10832	10120
517	10848	10094
518	10874	10078
519	10890	10052
520	10910	10031
521	10927	10005
522	10954	9991
523	10979	9973
524	10996	9949
525	11014	9925
526	11029	9898
527	11049	9877
528	11066	9852
529	11087	9831
530	11109	9812
531	11130	9791
532	11150	9770
533	11171	9748
534	11190	9726
535	11205	9700
536	11234	9685
537	11254	9664
538	11270	9639
539	11295	9622
540	11317	9602
541	11335	9579
542	11356	9557
543	11369	9530
544	11383	9503
545	11402	9480
546	11423	9460
547	11438	9434
548	11447	9404
549	11474	9388
550	11495	9367
551	11509	9340
552	11542	9330
553	11572	9316
554	11586	9290
555	11609	9270
556	11630	9249
557	11663	9238
558	11690	9222
559	11717	9206
560	11732	9181
561	11742	9151
562	11788	9150
563	11812	9131
564	11829	9107
565	11851	9087
566	11862	9059
567	11879	9034
568	11895	9010
569	11923	8994
570	11955	8982
571	11979	8963
572	11993	8937
573	12023	8923
574	12049	8906
575	12061	8878
576	12076	8853
577	12093	8829
578	12108	8804
579	12125	8780
580	12153	8765
581	12184	8751
582	12209	8732
583	12233	8714
584	12256	8694
585	12273	8670
586	12301	8655
587	12311	8626
588	12328	8602
589	12348	8581
590	12368	8559
591	12397	8544
592	12411	8518
593	12430	8496
594	12448	8473
595	12478	8458
596	12491	8432
597	12510	8409
598	12525	8385
599	12543	8362
600	12561	8339
601	12575	8314
602	12586	8286
603	12598	8259
604	12614	8236
605	12633	8213
606	12652	8191
607	12665	8165
608	12671	8135
609	12676	8104
610	12683	8075
611	12689	8044
612	12694	8014
613	12700	7984
614	12706	7954
615	12712	7924
616	12717	7894
617	12723	7864
618	12729	7834
619	12734	7805
620	12740	7775
621	12746	7746
622	12752	7716
623	12768	7694
624	12795	7677
625	12817	7657
626	12845	7641
627	12871	7624
628	12884	7599
629	12890	7570
630	12896	7541
631	12917	7521
632	12945	7505
633	12971	7488
634	13009	7477
635	13017	7450
636	13042	7432
637	13072	7417
638	13115	7409
639	13146	7394
640	13157	7369
641	13163	7340
642	13170	7312
643	13175	7283
644	13181	7254
645	13187	7226
646	13192	7197
647	13198	7169
648	13204	7141
649	13210	7113
650	13216	7085
651	13221	7057
652	13227	7028
653	13233	7001
654	13240	6974
655	13256	6951
656	13279	6932
657	13293	6909
658	13321	6893
659	13340	6872
660	13361	6852
661	13376	6829
662	13410	6816
663	13434	6798
664	13472	6786
665	13493	6766
666	13506	6743
667	13521	6720
668	13529	6693
669	13536	6667
670	13543	6640
671	13550	6614
672	13558	6588
673	13566	6562
674	13573	6535
675	13581	6509
676	13589	6483
677	13595	6456
678	13601	6430
679	13607	6403
680	13613	6377
681	13619	6350
682	13626	6324
683	13632	6297
684	13638	6271
685	13644	6245
686	13651	6219
687	13657	6193
688	13663	6167
689	13669	6141
690	13674	6115
691	13681	6089
692	13686	6063
693	13691	60377694	13697	6011702	13724	5798
703	13751	5781
704	13771	5762
705	13795	5744
706	13817	5726
707	13842	5708
708	13869	5692
709	13892	5674
710	13911	5654
711	13929	5634
712	13949	5614
713	13965	5594
714	13980	5572
715	13991	5549
716	14004	5527
717	14018	5505
718	14028	5482
719	14042	5461
720	14054	5438
721	14069	5417
722	14087	5397
723	14110	5379
724	14117	5354
725	14123	5330
726	14130	5306
727	14136	5281
728	14142	5257
729	14149	5233
730	14156	5209
731	14164	5185
732	14169	5161
733	14175	5137
734	14181	5113
735	14189	5089
736	14194	5065
737	14201	5041
738	14207	5017
739	14213	4993
740	14220	4970
741	14226	4946
742	14235	4923
743	14242	4900
744	14251	4878
745	14271	4859
746	14292	4840
747	14311	4821
748	14336	4804
749	14358	4786
750	14376	4766
751	14400	4749
752	14425	4731
753	14439	4711
754	14453	4690
755	14470	4670
756	14486	4650
757	14505	4630
758	14524	4611
759	14535	4590
760	14553	4570
761	14572	4551
762	14595	4533
763	14624	4517
7757	14643	4675765	14656	4477
766	14669	4456
767	14687	4436
7761	14706	4593
762	14721	4572
763	14743	4554
764	14777	4539
765	14797	4520
766	14824	4503
767	14839	4482
768	14871	4467
769	14904	4452
770	14919	4431
771	14950	4415
772	14964	4394
773	14974	4372
774	14990	4352
775	15002	4330
776	15015	4309
777	15037	4290
778	15048	4269
779	15056	4246
780	15074	4226
781	15081	4204
782	15098	4184
783	15112	4163
784	15122	4141
785	15128	4119
786	15147	4099
787	15169	4081
788	15182	4060
789	15191	4038
790	15211	4019
791	15223	3998
792	15233	3976
793	15238	3953
794	15244	3931
795	15251	3908
796	15257	3886
797	15263	3863
798	15268	3841
799	15275	3818
800	15282	3796
801	15288	3774
802	15293	3752
803	15299	3729
804	15305	3707
805	15312	3685
806	15319	3663
807	15325	3641
808	15331	3619
809	15337	3597
810	15344	3575
811	15350	3554
812	15356	3532
813	15362	3510
814	15370	3489
815	15376	3467
816	15382	3445
817	15388	3423
818	15393	3402
819	15400	3380
820	15406	3359
821	15413	3337
822	15418	3316
823	15424	3294
824	15429	3273
825	15435	3251
826	15441	3230
827	15446	3208
828	15452	3187
829	15459	3166
830	15465	3145
831	15471	3124
832	15477	3102
833	15484	3081
834	15490	3060
835	15496	3039
836	15502	3019
837	15509	2998
838	15515	2977
839	15521	2956
840	15528	2935
841	15537	2915
842	15549	2896
843	15558	2875
844	15567	2855
845	15575	2835
846	15591	2816
847	15599	2796
848	15608	2775
849	15615	2755
850	15629	2736
851	15639	2716
852	15647	2696
853	15654	2676
854	15661	2656
855	15669	2635
856	15676	2615
857	15684	2595
858	15692	2575
859	15701	2555
860	15707	2535
861	15718	2516
862	15729	2496
863	15735	2476
864	15745	2457
865	15753	2437
866	15760	2417
867	15771	2398
868	15780	2378
869	15788	2359
870	15797	2339
871	15805	2320
872	15812	2300
873	15821	2280
874	15831	2261
875	15838	2242
876	15845	2222
877	15854	2203
878	15864	2183
879	15872	2164
880	15882	2145
881	15895	2126
882	15906	2107
883	15918	2088
884	15933	2070
885	15943	2051
886	15951	2032
887	15961	2013
888	15972	1994
889	15984	1975
890	15995	1956
